VARSIG7	webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata
VARSIG6	methodmetadata metadata
VARSIG9	downstreamdependency downstream dependency
VARSIG8	upstreamdependency upstream dependency
VARSIG3	ioexception exception
VARSIG2	relativeprojectfilelocation relative project file location
VARSIG5	webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata
VARSIG4	metadataidentificationstring metadata identification
COMMENTS	metadata listener responsible installing web mvc jsp artifacts solr search addon install search tagx install search jspx add document namespaces interested accessors physical type changed determine local metadata identification proceed downstream dependency relationship registered registered event delivered instance specific downstream dependency processed
CLASSES	solrjspmetadatalistener solr jsp metadata listener
VARSIG1	relativetemplatelocation relative template location
VARSIG0	componentcontext component context context
METHODS	activate copyartifacts copy artifacts getprovidestype type getsearchdocument search document installmvcartifacts install mvc artifacts notify
MTHSIG4	getsearchdocument search document webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata
MTHSIG5	installmvcartifacts install mvc artifacts webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata
MTHSIG6	notify upstreamdependency upstream dependency downstreamdependency downstream dependency
MTHSIG0	activate componentcontext component context context
MTHSIG1	copyartifacts copy artifacts relativetemplatelocation relative template location relativeprojectfilelocation relative project file location
PACKAGE	springframework roo addon solr
MTHSIG2	metadataidentificationstring metadata identification
MTHSIG3	getprovidestype type
VARIABLES	context relativetemplatelocation relative template location relativeprojectfilelocation relative project file location metadataidentificationstring metadata identification webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata upstreamdependency upstream dependency downstreamdependency downstream dependency filemanager file manager formbackingobject formbacking object javatype type jpaactiverecordmetadata jpa active record metadata memberdetailsscanner member details scanner menuoperations menu operations metadatadependencyregistry metadata dependency registry metadataservice metadata service pathresolver path resolver persistencememberlocator persistence member locator tilesoperations tiles operations typelocationservice type location service webscaffoldmetadata web scaffold metadata xmlroundtripfilemanager xml trip file manager projectfilelocation project file location inputstream input stream outputstream output stream path solrwebsearchmetadatakeystring solr web search metadata key websearchmetadata web search metadata builder document div pagesearch search idfields fields resulttable result table facetfields facet fields fieldcounter field counter formbackingclassorinterfacedetails formbacking details memberdetails member details identifieraccessor identifier accessor versionaccessor version accessor field columnelement column element searchfacet search facet searchfield search field path foldername folder javatype type path
