VARSIG2	text
COMMENTS	top level mobile version application button body edit button login widget hide button visible button hide hide edit button visible button hide set title app text title display top app
CLASSES	scaffoldmobileshell scaffold mobile shell
VARSIG1	visible
VARSIG0	visible
METHODS	scaffoldmobileshell scaffold mobile shell getbackbutton button getbody body geteditbutton edit button getloginwidget login widget setbackbuttonvisible set button visible seteditbuttonvisible set edit button visible settitletext set title text
MTHSIG4	getloginwidget login widget
MTHSIG5	setbackbuttonvisible set button visible visible
MTHSIG6	seteditbuttonvisible set edit button visible visible
MTHSIG7	settitletext set title text text
MTHSIG0	scaffoldmobileshell scaffold mobile shell
MTHSIG1	getbackbutton button
PACKAGE	top level segment
MTHSIG2	getbody body
MTHSIG3	geteditbutton edit button
VARIABLES	visible visible text binder backbutton button backbuttonwrapper button wrapper body editbutton edit button loginwidget login widget title
