MTHSIG28	getmodifymethod modify
MTHSIG29	getnewtransiententitymethod entity
MTHSIG26	getinitmethod init quantity membertypeadditions member type additions findentriesmethodadditions find entries additions membertypeadditions member type additions persistmethodadditions persist additions membertypeadditions member type additions flushadditions flush additions
MTHSIG27	getminandmaxbody min max body fieldmetadata field metadata field suffix
MTHSIG24	getfieldmutatormethods field mutator methods
MTHSIG25	getfieldvalidationbody field validation body fieldmetadata field metadata field initializer javasymbolname symbol mutatorname mutator isfieldofembeddabletype field embeddable type
MTHSIG22	getfieldinitializer field initializer fieldmetadata field metadata field dataondemandmetadata data demand metadata collaboratingmetadata collaborating metadata
MTHSIG23	getfieldinitializerforrelatedentity field initializer entity fieldmetadata field metadata field dataondemandmetadata data demand metadata collaboratingmetadata collaborating metadata set fieldcustomdatakeys field custom data
MTHSIG4	isvalid valid metadataidentificationstring metadata identification
MTHSIG5	dataondemandmetadata data demand metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata dataondemandannotationvalues data demand annotation values annotationvalues annotation values methodmetadata metadata identifieraccessor identifier accessor membertypeadditions member type additions findmethodadditions find additions membertypeadditions member type additions findentriesmethodadditions find entries additions membertypeadditions member type additions persistmethodadditions persist additions membertypeadditions member type additions flushmethod flush map fieldmetadata field metadata dataondemandmetadata data demand metadata locatedfields located fields javatype type identifiertype identifier type embeddedidholder embedded holder embeddedidholder embedded holder list embeddedholder embedded holder embeddedholders embedded holders
MTHSIG6	addcollaboratingdodfieldstobuilder add collaborating fields builder
MTHSIG7	addembeddedclassfieldmutatormethodstobuilder add embedded field mutator methods builder embeddedholder embedded holder embeddedholder embedded holder
MTHSIG0	createidentifier create identifier javatype type javatype type logicalpath logical path path
MTHSIG1	getjavatype type metadataidentificationstring metadata identification
MTHSIG2	getmetadataidentifertype metadata identifer type
MTHSIG3	getpath path metadataidentificationstring metadata identification
MTHSIG20	getembeddedidmutatormethodname embedded mutator
MTHSIG21	getentitytype entity type
MTHSIG8	getcollaboratingfieldname collaborating field javatype type entity
MTHSIG9	getcollaboratingtype collaborating type javatype type entity
MTHSIG39	setspecificpersistententitymethod set specific persistent entity
MTHSIG37	setnewtransiententitymethod set entity
MTHSIG38	setrandompersistententitymethod set random persistent entity
MTHSIG35	hasembeddedidentifier embedded identifier
MTHSIG36	setmodifymethod set modify
MTHSIG33	getspecificpersistententitymethod specific persistent entity
MTHSIG34	gettypestr type str javatype type fieldtype field type
METHODS	createidentifier create identifier getjavatype type getmetadataidentifertype metadata identifer type getpath path isvalid valid dataondemandmetadata data demand metadata addcollaboratingdodfieldstobuilder add collaborating fields builder addembeddedclassfieldmutatormethodstobuilder add embedded field mutator methods builder getcollaboratingfieldname collaborating field getcollaboratingtype collaborating type getcolumnprecisionandscalebody column precision scale body getcomponentannotation component annotation getdatafield data field getdatafieldname data field getdecimalminanddecimalmaxbody decimal min decimal max body getdigitsbody digits body getembeddedclassmutatormethod embedded mutator getembeddedfieldmutatormethodname embedded field mutator getembeddedfieldmutatormethodname embedded field mutator getembeddedidmutatormethod embedded mutator getembeddedidmutatormethodname embedded mutator getentitytype entity type getfieldinitializer field initializer getfieldinitializerforrelatedentity field initializer entity getfieldmutatormethods field mutator methods getfieldvalidationbody field validation body getinitmethod init getminandmaxbody min max body getmodifymethod modify getnewtransiententitymethod entity getrandompersistententitymethod random persistent entity getrndfield rnd field getrndfieldname rnd field getspecificpersistententitymethod specific persistent entity gettypestr type str hasembeddedidentifier embedded identifier setmodifymethod set modify setnewtransiententitymethod set entity setrandompersistententitymethod set random persistent entity setspecificpersistententitymethod set specific persistent entity tostring validatenumericannotationattribute validate numeric annotation attribute
VARSIG66	object object
VARSIG65	attributename attribute
VARSIG64	annotationname annotation
MTHSIG31	getrndfield rnd field
MTHSIG32	getrndfieldname rnd field
MTHSIG30	getrandompersistententitymethod random persistent entity
VARSIG63	fieldname field
VARSIG62	fieldmetadata field metadata field
VARSIG61	embeddedholder embedded holder embeddedholder embedded holder
VARSIG60	javatype type fieldtype field type
COMMENTS	metadata link roodataondemand roo data demand constructor identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata annotationvalues annotation values identifieraccessor identifier accessor findmethodadditions find additions findentriesmethod find entries persistmethodadditions persist additions flushmethod flush locatedfields located fields entity embeddedidholder embedded holder embeddedholders embedded holders calculate store field initializers expect field correct rely move field create field add hasn field governor create adds springframework stereotype component annotation type exists annotation exists created created required data field user produced demand returns compute required field type parameters field type verify candidate suitable candidate naming clashes subclasses candidate isn util list theentity entity isn suitable equals verifies type params valid candidate don check initializer assume user they candidate let create locate user defined governor create create constructor embedded locate user defined governor create create constructor embedded compute required field usable fields included datanucleus data nucleus check size auto boxed auto boxed auto boxed auto boxed avoid circular references roo avoid circular references don set nullable fields roo locate user defined governor create governor create check size column length attribute check digits decimalmax decimal max decimalmin decimal min check min max returns dod type type init existing generated findentriesmethodadditions find entries additions required persistmethodadditions persist additions required flushadditions flush additions required definition find build locate user defined create body create modifyentity modify entity entity returns getnewtransiententity entity entity returns getrandomentity random entity entity returns compute required field verify candidate suitable candidate naming clashes subclasses candidate isn util random isn suitable valid candidate don check initializer assume user they candidate let create rnd field user produced demand returns getspecificentity specific entity entity returns definition find build locate user defined create definition find build locate user defined create create composite key embedded call required create mutator call embedded create mutator calls entity field getrandomentity random entity entity returns definition find build locate user defined create definition find build locate user defined create
VARSIG19	embeddedholder embedded holder embeddedholder embedded holder
VARSIG18	map entry fieldmetadata field metadata dataondemandmetadata data demand metadata entry
VARSIG17	list embeddedholder embedded holder embeddedholders embedded holders
VARSIG12	membertypeadditions member type additions persistmethodadditions persist additions
VARSIG11	membertypeadditions member type additions findentriesmethodadditions find entries additions
VARSIG10	membertypeadditions member type additions findmethodadditions find additions
VARSIG16	embeddedidholder embedded holder embeddedidholder embedded holder
VARSIG15	javatype type identifiertype identifier type
VARSIG14	map fieldmetadata field metadata dataondemandmetadata data demand metadata locatedfields located fields
VARSIG13	membertypeadditions member type additions flushmethod flush
MTHSIG17	getembeddedfieldmutatormethodname embedded field mutator javasymbolname symbol fieldname field
MTHSIG18	getembeddedfieldmutatormethodname embedded field mutator javasymbolname symbol embeddedfieldname embedded field javasymbolname symbol fieldname field
MTHSIG15	getdigitsbody digits body fieldmetadata field metadata field annotationmetadata annotation metadata digitsannotation digits annotation suffix
MTHSIG16	getembeddedclassmutatormethod embedded mutator embeddedholder embedded holder embeddedholder embedded holder
MTHSIG13	getdatafieldname data field
MTHSIG14	getdecimalminanddecimalmaxbody decimal min decimal max body fieldmetadata field metadata field annotationmetadata annotation metadata decimalminannotation decimal min annotation annotationmetadata annotation metadata decimalmaxannotation decimal max annotation suffix
MTHSIG11	getcomponentannotation component annotation
MTHSIG12	getdatafield data field
MTHSIG19	getembeddedidmutatormethod embedded mutator
MTHSIG10	getcolumnprecisionandscalebody column precision scale body fieldmetadata field metadata field map object values suffix
