MTHSIG11	testtypeinrootpackage test type root
MTHSIG12	testusertypeisnoncoretype test user type core type
COMMENTS	enclosing types enclosing type enclosing type declared enclosing type declared levels deep enclosing type explicitly
CLASSES	javatypetest type test
METHODS	testarraytypeismultivalued test array type multi valued testbooleanobjectisboolean test object testbooleanprimitiveisboolean test primitive testcollectiontypesaremultivalued test collection types multi valued testcoretypeiscoretype test core type core type testenclosingtypedetection test enclosing type detection testgetbasetypefornoncollectiontype test base type collection type testgetbasetypeforparameterisedcollectiontype test base type parameterised collection type testgetbasetypeforunparameterisedcollectiontype test base type unparameterised collection type testobjectisnotboolean test object testsinglevaluedtypeisnotmultivalued test single valued type multi valued testtypeinrootpackage test type root testusertypeisnoncoretype test user type core type
MTHSIG4	testcoretypeiscoretype test core type core type
MTHSIG5	testenclosingtypedetection test enclosing type detection
MTHSIG6	testgetbasetypefornoncollectiontype test base type collection type
MTHSIG7	testgetbasetypeforparameterisedcollectiontype test base type parameterised collection type
MTHSIG0	testarraytypeismultivalued test array type multi valued
MTHSIG1	testbooleanobjectisboolean test object
PACKAGE	springframework roo model
MTHSIG2	testbooleanprimitiveisboolean test primitive
MTHSIG3	testcollectiontypesaremultivalued test collection types multi valued
MTHSIG10	testsinglevaluedtypeisnotmultivalued test single valued type multi valued
VARIABLES	
MTHSIG8	testgetbasetypeforunparameterisedcollectiontype test base type unparameterised collection type
MTHSIG9	testobjectisnotboolean test object
