VARSIG7	javatype type targetentity target entity
VARSIG6	methodidentifier identifier
VARSIG9	autowire
VARSIG8	javatype type idtype type
VARSIG3	javatype type idtype type
VARSIG2	javatype type targetentity target entity
VARSIG5	callermid caller mid
VARSIG4	methodparameter parameter callerparameters caller parameters
COMMENTS	link springframework roo classpath layers layerprovider layer provider link layertype layer type active record layer crud values entity entity roojpaactiverecord roo jpa active record annotation check entity plural form entity layer types parameter entity layer annotation needed generate call returns plural form entity javatype type entity plural required can can acquire plural unit tests jpaactiverecordmetadataprovider jpa active record metadata provider unit tests metadataservice metadata service
VARSIG1	methodidentifier identifier
VARSIG0	callermid caller mid
MTHSIG4	setjpaactiverecordmetadataprovider set jpa active record metadata provider jpaactiverecordmetadataprovider jpa active record metadata provider jpaactiverecordmetadataprovider jpa active record metadata provider
VARSIG12	jpaactiverecordmetadataprovider jpa active record metadata provider jpaactiverecordmetadataprovider jpa active record metadata provider
MTHSIG5	setmetadataservice set metadata service metadataservice metadata service metadataservice metadata service
VARSIG11	javatype type javatype type
VARSIG10	methodparameter parameter callerparameters caller parameters
MTHSIG0	getlayerposition layer position
MTHSIG1	getmembertypeadditions member type additions callermid caller mid methodidentifier identifier javatype type targetentity target entity javatype type idtype type methodparameter parameter callerparameters caller parameters
PACKAGE	springframework roo addon jpa activerecord
MTHSIG2	getmembertypeadditions member type additions callermid caller mid methodidentifier identifier javatype type targetentity target entity javatype type idtype type autowire methodparameter parameter callerparameters caller parameters
MTHSIG3	getplural plural javatype type javatype type
VARSIG13	metadataservice metadata service metadataservice metadata service
CLASSES	entitylayerprovider entity layer provider
METHODS	getlayerposition layer position getmembertypeadditions member type additions getmembertypeadditions member type additions getplural plural setjpaactiverecordmetadataprovider set jpa active record metadata provider setmetadataservice set metadata service
VARIABLES	callermid caller mid methodidentifier identifier targetentity target entity idtype type callerparameters caller parameters callermid caller mid methodidentifier identifier targetentity target entity idtype type autowire callerparameters caller parameters javatype type jpaactiverecordmetadataprovider jpa active record metadata provider metadataservice metadata service jpaactiverecordmetadataprovider jpa active record metadata provider metadataservice metadata service typelocationservice type location service annotationvalues annotation values plural parametertypes parameter types methodname callerparameterlist caller parameter list methodcall call additionsbuilder additions builder key pluralmetadata plural metadata
