VARSIG7	modulename module
VARSIG6	exception
VARSIG9	exception
VARSIG8	displayaddons display add ons
VARSIG3	element propertyelement property element
VARSIG2	exception
VARSIG5	database database
VARSIG4	evictcache evict cache
COMMENTS	implementation link dbremodelservice dbre model service required properties ignore elements
VARSIG1	displayaddons display add ons
VARSIG0	database database
VARSIG17	database database
MTHSIG4	getdbrexmlpath dbre xml path
VARSIG12	set includetables include tables
MTHSIG5	getjndidatasourcename jndi data source
VARSIG11	view
MTHSIG6	getschemas schemas displayaddons display add ons
VARSIG10	set schema schemas
MTHSIG7	refreshdatabase refresh database set schema schemas view set includetables include tables set excludetables exclude tables
MTHSIG0	cachedatabase cache database database database
VARSIG16	exception
MTHSIG1	getconnection connection displayaddons display add ons
VARSIG15	displayaddons display add ons
PACKAGE	springframework roo addon dbre model
MTHSIG2	getconnectionpropertiesfromdatanucleusconfiguration connection properties data nucleus configuration
VARSIG14	exception
MTHSIG3	getdatabase database evictcache evict cache
VARSIG13	set excludetables exclude tables
MTHSIG8	supportsschema supports schema displayaddons display add ons
MTHSIG9	writedatabase write database database database
CLASSES	dbremodelserviceimpl dbre model service impl
METHODS	cachedatabase cache database getconnection connection getconnectionpropertiesfromdatanucleusconfiguration connection properties data nucleus configuration getdatabase database getdbrexmlpath dbre xml path getjndidatasourcename jndi data source getschemas schemas refreshdatabase refresh database supportsschema supports schema writedatabase write database
VARIABLES	database displayaddons display add ons propertyelement property element evictcache evict cache database modulename module displayaddons display add ons schemas view includetables include tables excludetables exclude tables displayaddons display add ons database cachedintrospections cached introspections connectionprovider connection provider filemanager file manager lastdatabase database projectoperations project operations propfileoperations prop file operations dbprops props jndidatasource jndi data source props props connectionproperties connection properties persistencexmlpath persistence xml path filedetails file details document builder propertyelements property elements properties key dbrexmlpath dbre xml path database inputstream input stream logicalpath logical path dbrexmlpath dbre xml path contextpath context path appctx app ctx root datasourcejndi data source jndi connection introspector connection introspector database connection databasemetadata database meta data schematerm schema term document
