VARSIG7	commentstructure comment structure commentstructure comment structure
VARSIG6	fieldinitializer field initializer
VARSIG3	list annotationmetadata annotation metadata annotations
VARSIG2	modifier
VARSIG5	javatype type fieldtype field type
VARSIG4	javasymbolname symbol fieldname field
COMMENTS	implementation link fieldmetadata field metadata mandate fieldmetadatabuilder field metadata builder
CLASSES	defaultfieldmetadata field metadata
VARSIG1	declaredbymetadataid declared metadata
VARSIG0	customdata custom data customdata custom data
METHODS	defaultfieldmetadata field metadata getcommentstructure comment structure setcommentstructure set comment structure getfieldinitializer field initializer getfieldname field getfieldtype field type tostring
MTHSIG4	getfieldname field
MTHSIG5	getfieldtype field type
MTHSIG6	tostring
MTHSIG0	defaultfieldmetadata field metadata customdata custom data customdata custom data declaredbymetadataid declared metadata modifier list annotationmetadata annotation metadata annotations javasymbolname symbol fieldname field javatype type fieldtype field type fieldinitializer field initializer
MTHSIG1	getcommentstructure comment structure
PACKAGE	springframework roo classpath details
MTHSIG2	setcommentstructure set comment structure commentstructure comment structure commentstructure comment structure
MTHSIG3	getfieldinitializer field initializer
VARIABLES	customdata custom data declaredbymetadataid declared metadata modifier annotations fieldname field fieldtype field type fieldinitializer field initializer commentstructure comment structure fieldinitializer field initializer fieldname field fieldtype field type commentstructure comment structure builder
