VARSIG3	remainingbuffer remaining buffer
VARSIG2	stringbuilder builder currentvalue current
VARSIG4	
COMMENTS	utilities parsing option marker option marker verify isn converts buffer tokenized structure properly treats quotes option delimiters expects option names preceded single dash call option marker treats spaces option tokenizer token option marker considered returned map element empty key single remainingbuffer remaining buffer tokenize map option names dashes values option values quotes removed verify correct number quotes they exit store token interested token series store ended token series current token series ended start delimited token simply empty ignore roo start option marker strip store token token starts tokens store processing token started iteration store standard token standard token option unquoted spaces existing content add space store token token starts tokens store processing token started iteration store ordinary token store strip empty option returned roo
CLASSES	parserutils parser utils
VARSIG1	stringbuilder builder currentoption current option
VARSIG0	map
METHODS	store tokenize parserutils parser utils
MTHSIG0	store map stringbuilder builder currentoption current option stringbuilder builder currentvalue current
MTHSIG1	tokenize remainingbuffer remaining buffer
PACKAGE	springframework roo shell
MTHSIG2	parserutils parser utils
VARIABLES	currentoption current option currentvalue current remainingbuffer remaining buffer option result currentoption current option currentvalue current inquotes quotes count split currenttoken current token tokenlessdelimiters token delimiters tokenlessdelimiters token delimiters tokenlessdelimiters token delimiters lastindex tokenlessdelimiters token delimiters
