VARSIG3	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG2	javasymbolname symbol fieldname field
VARSIG5	decimalmin decimal min
VARSIG4	decimalmax decimal max
COMMENTS	jsr decimalmax decimal max annotation jsr decimalmin decimal min annotation
CLASSES	stringornumericfield numeric field
VARSIG1	javatype type fieldtype field type
VARSIG0	physicaltypeidentifier physical type identifier
METHODS	stringornumericfield numeric field decorateannotationslist decorate annotations list getdecimalmax decimal max getdecimalmin decimal min setdecimalmax set decimal max setdecimalmin set decimal min
MTHSIG4	setdecimalmax set decimal max decimalmax decimal max
MTHSIG5	setdecimalmin set decimal min decimalmin decimal min
MTHSIG0	stringornumericfield numeric field physicaltypeidentifier physical type identifier javatype type fieldtype field type javasymbolname symbol fieldname field
MTHSIG1	decorateannotationslist decorate annotations list list annotationmetadatabuilder annotation metadata builder annotations
PACKAGE	springframework roo classpath operations jsr jsr
MTHSIG2	getdecimalmax decimal max
MTHSIG3	getdecimalmin decimal min
VARIABLES	physicaltypeidentifier physical type identifier fieldtype field type fieldname field annotations decimalmax decimal max decimalmin decimal min logger decimalmax decimal max decimalmin decimal min attrs attrs
