VARSIG3	slot
VARSIG2	message
VARSIG4	shell shell
COMMENTS	easy subclasses publish flash messages link shell creating dependency link shell enables subclasses safely determine link shell development mode subclasses normal link shell flash level link flash level declare direct dependency link shell link shell simply publish flash messages link shell flash messages link shell convenience subclasses unique slot flash messages signature link shell flash level called link shell simply discard flash message level link shell flash level message link shell flash level slot link shell flash level delegates link shell isdevelopmentmode development mode link shell simply returns shell development mode
CLASSES	abstractflashingobject flashing object
VARSIG1	level level
VARSIG0	shell shell
METHODS	bindshell bind shell flash isdevelopmentmode development mode unbindshell unbind shell
MTHSIG0	bindshell bind shell shell shell
MTHSIG1	flash level level message slot
PACKAGE	springframework roo shell osgi
MTHSIG2	isdevelopmentmode development mode
MTHSIG3	unbindshell unbind shell shell shell
VARIABLES	shell level message slot shell mutex slot shell
