VARSIG7	illegalstateexception illegal exception
VARSIG6	bundle bundle
VARSIG3	illegalstateexception illegal exception
VARSIG2	bundle bundle
VARSIG5	resourcename resource
VARSIG4	bundlecontext bundle context context
COMMENTS	utility methods locating resources osgi bundles returns urls entries bundles urls match ant style path context context bundles search antpathexpression ant path expression pattern matching urls required search can performed set antpathmatcher ant path matcher match sets urls slow unreliable link osgiutils utils findentriesbypattern find entries pattern bundlecontext bundle context bundle uninstalled ignore searches bundles context resource context bundles search resourcename resource path resource locate link bundle getentry entry foo txt find foo txt root bundle failure set entries entries search successful resource simply sets urls slow unreliable link osgiutils utils findentriesbypath find entries path bundlecontext bundle context bundle uninstalled ignore constructor prevent instantiation
CLASSES	urlfindingutils url finding utils
VARSIG1	antpathexpression ant path expression
VARSIG0	bundlecontext bundle context context
METHODS	findmatchingclasspathresources find matching classpath resources findurls find urls urlfindingutils url finding utils
MTHSIG0	findmatchingclasspathresources find matching classpath resources bundlecontext bundle context context antpathexpression ant path expression
MTHSIG1	findurls find urls bundlecontext bundle context context resourcename resource
PACKAGE	springframework roo support osgi
MTHSIG2	urlfindingutils url finding utils
VARIABLES	context antpathexpression ant path expression bundle context resourcename resource bundle path matcher root path enumeration url url
