VARSIG7	body
VARSIG6	list javatype type throwstypes types
VARSIG3	list annotationmetadata annotation metadata annotations
VARSIG2	modifier
VARSIG5	list javasymbolname symbol parameternames parameter names
VARSIG4	list annotatedjavatype annotated type parametertypes parameter types
COMMENTS	implementation link constructormetadata constructor metadata mandate constructormetadatabuilder constructor metadata builder
CLASSES	defaultconstructormetadata constructor metadata
VARSIG1	declaredbymetadataid declared metadata
VARSIG0	customdata custom data customdata custom data
METHODS	defaultconstructormetadata constructor metadata tostring
MTHSIG0	defaultconstructormetadata constructor metadata customdata custom data customdata custom data declaredbymetadataid declared metadata modifier list annotationmetadata annotation metadata annotations list annotatedjavatype annotated type parametertypes parameter types list javasymbolname symbol parameternames parameter names list javatype type throwstypes types body
MTHSIG1	tostring
PACKAGE	springframework roo classpath details
VARIABLES	customdata custom data declaredbymetadataid declared metadata modifier annotations parametertypes parameter types parameternames parameter names throwstypes types body builder
