MTHSIG4	getaccessor accessor 
MTHSIG5	getrequiredaccessornam requir accessor fieldmetadata field metadata field 
MTHSIG6	getaccessor accessor fieldmetadata field metadata field 
MTHSIG7	getmut mutat 
MTHSIG0	identifiermetadata identifi metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata noargconstructor arg constructor list identifi identifierserviceresult identifi servic result 
MTHSIG1	getembeddableannot embedd annot 
PACKAGE	springframework roo addon entiti 
MTHSIG2	getfield field 
MTHSIG3	hasfield field list fieldmetadata field metadata declaredfield declar field fieldmetadata field metadata idfield field 
MTHSIG8	getrequiredmutatornam requir mutat fieldmetadata field metadata field 
MTHSIG9	getmut mutat fieldmetadata field metadata field 
CLASSES	identifiermetadata identifi metadata 
METHODS	identifiermetadata identifi metadata getembeddableannot embedd annot getfield field hasfield field getaccessor accessor getrequiredaccessornam requir accessor getaccessor accessor getmut mutat getrequiredmutatornam requir mutat getmut mutat getparameterizedconstructor parameter constructor getnoargconstructor arg constructor getequalsmethod equal gethashcodemethod hash code getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
VARSIG23	path path 
VARSIG22	javatyp type javatyp type 
VARSIG21	fieldmetadata field metadata field 
VARSIG20	fieldmetadata field metadata field 
VARSIG26	metadataidentificationstr metadata identif 
VARSIG25	metadataidentificationstr metadata identif 
VARSIG24	metadataidentificationstr metadata identif 
VARSIG7	methodmetadata metadata mutat 
VARSIG6	methodmetadata metadata accessor 
VARSIG9	list fieldmetadata field metadata declaredfield declar field 
VARSIG8	identifi identifi 
VARSIG3	noargconstructor arg constructor 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	fieldmetadata field metadata field 
VARSIG4	list identifi identifierserviceresult identifi servic result 
COMMENTS	metadata link rooidentifi roo identifi annot link identifierservic identifi servic popul link identifiermetadataproviderimpl identifi metadata provid impl process valu annot add embedd annot add declar field accessor mutat parameteris constructor arg constructor provid add equal hashcod hash code method creat represent desir output locat declar field parent defin locat creat declar field return field return locat declar field add field annot comput column requir add field declar governor remov field modifi remov field annot creat identifi field comput column requir locat accessor method link getfield field return field creat accessor automat produc declar accessor return comput name accessor produc locat mutat method link getfield field return field creat mutat automat produc declar mutat return comput name mutat produc locat parameteris constructor consist field constructor search exist constructor exist arg constructor creat constructor locat arg constructor defin arg constructor return irrespect access modifi defin arg constructor creat creat link noargconstructor arg constructor constructor declar sourc file constructor creat access modifi constructor constructor produc search exist constructor exist arg constructor user defin arg constructor metadata instanc prohibit make arg constructor creat constructor user equal creat user hashcod hash code creat 
VARSIG19	fieldmetadata field metadata field 
VARSIG1	javatyp type aspectnam aspect 
VARSIG18	fieldmetadata field metadata field 
VARSIG0	identifi 
VARSIG17	fieldmetadata field metadata field 
VARSIG12	fieldmetadata field metadata field 
VARSIG11	fieldmetadata field metadata declaredfield declar field 
VARSIG10	fieldmetadata field metadata idfield field 
VARSIG16	fieldmetadata field metadata field 
VARSIG15	fieldmetadata field metadata field 
VARSIG14	fieldmetadata field metadata field 
VARSIG13	fieldmetadata field metadata field 
MTHSIG17	getpath path metadataidentificationstr metadata identif 
MTHSIG18	isvalid valid metadataidentificationstr metadata identif 
MTHSIG15	createidentifi creat identifi javatyp type javatyp type path path 
MTHSIG16	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG13	gethashcodemethod hash code 
MTHSIG14	getmetadataidentifertyp metadata identif type 
MTHSIG11	getnoargconstructor arg constructor 
MTHSIG12	getequalsmethod equal 
MTHSIG10	getparameterizedconstructor parameter constructor 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata noargconstructor arg constructor identifierserviceresult identifi servic result field accessor mutat identifi declaredfield declar field idfield field declaredfield declar field field field field field field field field field field field javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type embedd column noargconstructor arg constructor field gettersbydefault getter settersbydefault setter identifierserviceresult identifi servic result annot accessor mutat annotationbuild annot builder declaredfield declar field field columnnam column annot columnattribut column attribut fieldbuild field builder idfield field iter field transientannotatedfield annot field annot columnattribut column attribut fieldbuild field builder accessor requiredaccessornam requir accessor accessor requiredaccessornam requir accessor bodybuild bodi builder methodbuild builder mutat requiredmutatornam requir mutat paramtyp type mutat requiredmutatornam requir mutat paramtyp type paramnam name bodybuild bodi builder methodbuild builder paramtyp type result paramnam name bodybuild bodi builder constructorbuild constructor builder paramtyp type result bodybuild bodi builder constructorbuild constructor builder paramtyp type equalsmethod equal typenam type bodybuild bodi builder fieldnam field fieldtyp field type paramnam name methodbuild builder hashcodemethod hash code bodybuild bodi builder header fieldnam field fieldtyp field type methodbuild builder 
