VARSIG7	runtimeexcept runtim except 
VARSIG6	javasymbolnam symbol findernam finder 
VARSIG8	object 
VARSIG3	javatyp type 
VARSIG2	javasymbolnam symbol finder 
VARSIG5	javatyp type typenam type 
VARSIG4	runtimeexcept runtim except 
COMMENTS	finder addon oper entiti metadata type finder entiti entiti metadata bean info metadata comput finder avoid displai problemat finder queri queri entiti metadata type finder entiti entiti metadata bean info metadata file exist there entiti metadata reason sourc file line suddenli exist entiti annot confirm type valid finder todo improv detect invalid finder name destin list store attribut copi exist attribut exclud finder attribut ensur arrai string add desir finder let add finder attribut 
CLASSES	finderoperationsimpl finder oper impl 
VARSIG1	integ depth 
VARSIG0	javatyp type typenam type 
METHODS	isfindercommandavail finder command listfindersfor list finder installfind instal finder 
MTHSIG0	isfindercommandavail finder command 
MTHSIG1	listfindersfor list finder javatyp type typenam type integ depth 
PACKAGE	springframework roo addon finder 
MTHSIG2	installfind instal finder javatyp type typenam type javasymbolnam symbol findernam finder 
VARIABLES	typenam type depth finder typenam type findernam finder logger filemanag file manag pathresolv path resolv physicaltypemetadataprovid physic type metadata provid metadataservic metadata servic javatyp type path entitymid entiti mid entitymetadata entiti metadata beaninfomid bean info mid beaninfometadata bean info metadata finderservic finder servic finder result paramnam name paramtyp type signatur javatyp type path entitymid entiti mid entitymetadata entiti metadata beaninfomid bean info mid beaninfometadata bean info metadata physicaltypemetadata physic type metadata ptd mutabl annot finderservic finder servic attribut desiredfind desir finder alreadyad val arrayv arrai val annot 
