MTHSIG0	isdbreavail dbre 
VARSIG3	clioption cli option kei mandatori optioncontext option context updat entiti javapackag destinationpackag destin 
MTHSIG1	displaydatabasemetadata displai databas metadata schema schema file file 
VARSIG2	clioption cli option kei schema mandatori databas schema schema schema 
PACKAGE	springframework roo addon dbre 
MTHSIG2	serializedatabasemetadata serial databas metadata schema schema javapackag destinationpackag destin 
COMMENTS	command dbre addon roo shell 
CLASSES	dbrecommand dbre command 
VARIABLES	schema file schema destinationpackag destin dbreoper dbre oper 
VARSIG1	clioption cli option kei file mandatori file save metadata file file 
VARSIG0	clioption cli option kei schema mandatori databas schema schema schema 
METHODS	isdbreavail dbre displaydatabasemetadata displai databas metadata serializedatabasemetadata serial databas metadata 
