MTHSIG28	getenclosingtypenam enclos type 
MTHSIG26	getimport import 
MTHSIG27	getinnertyp type 
MTHSIG24	flush 
MTHSIG25	getcompilationunitpackag compil unit 
MTHSIG22	createtyp creat type filemanag file manag filemanag file manag classorinterfacetypedetail type detail cit fileidentifi file identifi 
MTHSIG23	tostr 
VARSIG39	constructormetadata constructor metadata candid 
MTHSIG4	getphysicaltypecategori physic type categori 
VARSIG34	javatyp type current 
MTHSIG5	getnam 
VARSIG33	javatyp type 
MTHSIG6	getdeclaredconstructor declar constructor 
VARSIG32	javatyp type current 
MTHSIG7	getenumconst constant 
VARSIG31	classorinterfacetypedetail type detail cit 
MTHSIG0	javaparsermutableclassorinterfacetypedetail parser mutabl type detail compilationunit compil unit compilationunit compil unit typedeclar type declar typedeclar type declar filemanag file manag filemanag file manag declaredbymetadataid declar metadata fileidentifi file identifi javatyp type typenam type metadataservic metadata servic metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG38	fieldmetadata field metadata candid 
MTHSIG1	getdeclaredbymetadataid declar metadata 
VARSIG37	javasymbolnam symbol constant 
PACKAGE	springframework roo classpath javapars 
MTHSIG2	getmodifi modifi 
VARSIG36	annotationmetadata annot metadata candid 
MTHSIG3	getsuperclass superclass 
VARSIG35	javatyp type 
MTHSIG20	addmethod add methodmetadata metadata methodmetadata metadata 
MTHSIG21	getoutput output classorinterfacetypedetail type detail cit 
MTHSIG8	getdeclaredfield declar field 
VARSIG30	methodmetadata metadata methodmetadata metadata 
MTHSIG9	getdeclaredmethod declar method 
CLASSES	javaparsermutableclassorinterfacetypedetail parser mutabl type detail 
VARSIG29	javasymbolnam symbol fieldnam field 
VARSIG28	permitflush permit flush 
METHODS	javaparsermutableclassorinterfacetypedetail parser mutabl type detail getdeclaredbymetadataid declar metadata getmodifi modifi getsuperclass superclass getphysicaltypecategori physic type categori getnam getdeclaredconstructor declar constructor getenumconst constant getdeclaredfield declar field getdeclaredmethod declar method getextendstyp type getimplementstyp type getannot annot addtypeannot add type annot updatetypeannot updat type annot removetypeannot remov type annot addfield add field addenumconst add constant addenumconst add constant removefield remov field addmethod add getoutput output createtyp creat type tostr flush getcompilationunitpackag compil unit getimport import getinnertyp type getenclosingtypenam enclos type 
VARSIG23	fieldmetadata field metadata fieldmetadata field metadata 
VARSIG22	javatyp type annotationtyp annot type 
VARSIG21	javasymbolnam symbol incomingattributenam incom attribut 
VARSIG20	javasymbolnam symbol existingattributenam exist attribut 
VARSIG27	javasymbolnam symbol 
VARSIG26	list enumconstantdeclar constant declar constant 
VARSIG25	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG24	javasymbolnam symbol 
VARSIG7	physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG6	metadataservic metadata servic metadataservic metadata servic 
VARSIG9	classorinterfacetyp type candid 
VARSIG8	javatyp type 
VARSIG3	declaredbymetadataid declar metadata 
VARSIG2	filemanag file manag filemanag file manag 
VARSIG5	javatyp type typenam type 
VARSIG4	fileidentifi file identifi 
COMMENTS	parser implement link mutableclassorinterfacetypedetail mutabl type detail immut construct pass constructor comput constructor satisfi intern determin type ad type paramet revert origin type avoid unnecessari infer lang type roo verifi declar appear correct convert parser modifi jdk modifi type paramet fortun type name top level superclass finish declar type introspect type refer bodi member defer illeg refer type signatur enclos type type build replac annotationmetadata annot metadata variabl track attribut valu replac hold add copi incom attribut exist attributestodeleteifpres attribut delet set copi exist attribut attribut ensur incom attribut replac exist add attribut list attribut attribut determin attribut materi attribut exist add replac attribut materi annotationmetadata annot metadata repres replac determin locat insert creat compil unit store type creat creat declar repres actual type handl superclass handl handl add declar compil unit creat compil unit javatyp type metadata method add type annot add constant interfac handl add field add constructor add method 
VARSIG19	javasymbolnam symbol incomingattributenam incom attribut 
VARSIG1	typedeclar type declar typedeclar type declar 
VARSIG18	set javasymbolnam symbol attributestodeleteifpres attribut delet 
VARSIG0	compilationunit compil unit compilationunit compil unit 
VARSIG17	annotationmetadata annot metadata annot 
VARSIG12	annotationexpr annot expr candid 
VARSIG11	classorinterfacetyp type candid 
VARSIG10	enumconstantdeclar constant declar enumconst constant 
