VARSIG7	methodmetadata metadata accessor 
VARSIG6	methodmetadata metadata 
VARSIG9	javatyp type javatyp type 
VARSIG8	fieldnam field 
VARSIG3	list memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	memberholdingtypedetail member hold type detail holder 
VARSIG4	sortbyaccessornam sort accessor 
COMMENTS	metadata link rootostr roo annot process valu annot gener tostr creat represent desir output treemap tree map method output alphabet order kei base methodmetadata metadata paramet obtain tostr type user tostr return tostr declar type introduc undeclar introduc comput relev tostr type declar decid produc tostr kei field accessor field name 
VARSIG1	javatyp type aspectnam aspect 
VARSIG0	identifi 
MTHSIG4	getmetadataidentifertyp metadata identif type 
VARSIG12	metadataidentificationstr metadata identif 
MTHSIG5	createidentifi creat identifi javatyp type javatyp type path path 
VARSIG11	metadataidentificationstr metadata identif 
MTHSIG6	getjavatyp type metadataidentificationstr metadata identif 
VARSIG10	path path 
MTHSIG7	getpath path metadataidentificationstr metadata identif 
MTHSIG0	tostringmetadata metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata list memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
MTHSIG1	getpublicaccessor accessor sortbyaccessornam sort accessor 
PACKAGE	springframework roo addon tostr 
MTHSIG2	gettostringmethod 
MTHSIG3	tostr 
VARSIG13	metadataidentificationstr metadata identif 
MTHSIG8	isvalid valid metadataidentificationstr metadata identif 
CLASSES	tostringmetadata metadata 
METHODS	tostringmetadata metadata getpublicaccessor accessor gettostringmethod tostr getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata memberholdingtypedetail member hold type detail sortbyaccessornam sort accessor holder accessor fieldnam field javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type memberholdingtypedetail member hold type detail tostringmethod excludefield exclud field annot tostringmethod map sortedbydetectionord sort detect order accessornam accessor methodnam result bodybuild bodi builder map order excludefieldsset exclud field set accessornam accessor fieldnam field accessortext accessor text size accessortext accessor text methodbuild builder tsc 
