VARSIG3	column column 
VARSIG2	ordinalposit ordin posit 
MTHSIG11	tostr 
VARSIG5	object obj 
VARSIG4	size 
COMMENTS	repres column databas model 
CLASSES	indexcolumn column 
VARSIG1	 
VARSIG0	 
METHODS	indexcolumn column getnam setnam set getordinalposit ordin posit setordinalposit set ordin posit getcolumn column setcolumn set column getsiz size setsiz set size hashcod hash code equal tostr 
MTHSIG4	setordinalposit set ordin posit ordinalposit ordin posit 
MTHSIG5	getcolumn column 
MTHSIG6	setcolumn set column column column 
MTHSIG7	getsiz size 
MTHSIG0	indexcolumn column 
MTHSIG1	getnam 
PACKAGE	springframework roo addon dbre model 
MTHSIG2	setnam set 
MTHSIG3	getordinalposit ordin posit 
MTHSIG10	equal object obj 
VARIABLES	ordinalposit ordin posit column size obj serialversionuid serial version uid ordinalposit ordin posit column size prime result 
MTHSIG8	setsiz set size size 
MTHSIG9	hashcod hash code 
