VARSIG7	token token 
VARSIG6	beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG9	plural 
VARSIG8	javasymbolnam symbol findernam finder 
VARSIG3	methodmetadata metadata accessor 
VARSIG2	maxdepth max depth 
VARSIG5	plural 
VARSIG4	javasymbolnam symbol findernam finder 
COMMENTS	implement link dynamicfinderservic dynam finder servic ignor util map field type roo interest field declar physic type field declar itd remov field token replac min max 
VARSIG19	reservedtoken reserv token keyword kei word 
VARSIG1	plural 
VARSIG18	reservedtoken reserv token keyword kei word 
VARSIG0	beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG17	isfirst 
MTHSIG4	createfind creat finder fieldmetadata field metadata field set javasymbolnam symbol finder prepend isfirst 
VARSIG12	plural 
MTHSIG5	populatefind popul finder set javasymbolnam symbol finder fieldmetadata field metadata field prepend isfirst keyword kei word 
VARSIG11	javasymbolnam symbol findernam finder 
MTHSIG6	isnumberord number fullyqualifiedtypenam fulli qualifi type 
VARSIG10	beaninfometadata bean info metadata beaninfometadata bean info metadata 
MTHSIG0	getfindersfor finder beaninfometadata bean info metadata beaninfometadata bean info metadata plural maxdepth max depth 
VARSIG16	prepend 
MTHSIG1	getjpaqueryfor jpa queri javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG15	set javasymbolnam symbol finder 
PACKAGE	springframework roo addon finder 
MTHSIG2	getparameternam paramet name javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG14	fieldmetadata field metadata field 
MTHSIG3	getparametertyp paramet type javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG13	beaninfometadata bean info metadata beaninfometadata bean info metadata 
CLASSES	dynamicfinderservicesimpl dynam finder servic impl 
METHODS	getfindersfor finder getjpaqueryfor jpa queri getparameternam paramet name getparametertyp paramet type createfind creat finder populatefind popul finder isnumberord number 
VARSIG23	prepend 
VARSIG22	fieldmetadata field metadata field 
VARSIG21	set javasymbolnam symbol finder 
VARSIG20	reservedtoken reserv token keyword kei word 
VARSIG27	fullyqualifiedtypenam fulli qualifi type 
VARSIG26	javasymbolnam symbol finder 
VARSIG25	keyword kei word 
VARSIG24	isfirst 
VARIABLES	beaninfometadata bean info metadata plural maxdepth max depth accessor findernam finder plural beaninfometadata bean info metadata token findernam finder plural beaninfometadata bean info metadata findernam finder plural beaninfometadata bean info metadata field finder prepend isfirst keyword kei word keyword kei word keyword kei word finder field prepend isfirst keyword kei word finder fullyqualifiedtypenam fulli qualifi type finder tempfind temp finder propertynam properti field tablenam builder token token lastfieldtoken field token isnewfield field isfieldappli field appli reservedtoken reserv token fieldnam field setfield set field name token token token fieldnam field field fieldnam field field type token token token field field tempfind temp finder tempfind temp finder 
