VARSIG7	indexcolumn column indexcolumn column 
VARSIG6	 
VARSIG9	springframework roo addon dbre model refer refer 
VARSIG8	foreignkei foreign kei exportedkei export kei 
VARSIG3	column column 
VARSIG2	tabl tabl 
VARSIG5	springframework roo addon dbre model refer refer 
VARSIG4	foreignkei foreign kei foreignkei foreign kei 
COMMENTS	assist convert link databas xml dom sax 
VARSIG19	element exportedkeyel export kei element 
VARSIG1	outputstream output stream outputstream output stream 
VARSIG18	element referenceel refer element 
VARSIG0	databas databas 
VARSIG17	element foreignkeyel foreign kei element 
MTHSIG4	addindic add indic tabl tabl element tableel tabl element indextyp type indextyp type 
VARSIG12	inputstream input stream inputstream input stream 
MTHSIG5	getdocu document inputstream input stream inputstream input stream 
VARSIG11	inputstream input stream inputstream input stream 
MTHSIG6	readdatabasestructureusingsaxfrominputstream read databas structur sax input stream inputstream input stream inputstream input stream 
VARSIG10	sequenc sequenc 
MTHSIG0	writedatabasestructuretooutputstream write databas structur output stream databas databas outputstream output stream outputstream output stream 
VARSIG16	element columnel column element 
MTHSIG1	readschemafrominputstream read schema input stream inputstream input stream inputstream input stream 
VARSIG15	element tableel tabl element 
PACKAGE	springframework roo addon dbre model 
MTHSIG2	readschemausingsaxfrominputstream read schema sax input stream inputstream input stream inputstream input stream 
VARSIG14	inputstream input stream inputstream input stream 
MTHSIG3	readdatabasestructurefrominputstream read databas structur input stream inputstream input stream inputstream input stream 
VARSIG13	except 
VARSIG30	except 
CLASSES	databasexmlutil databas xml util 
VARSIG29	inputstream input stream inputstream input stream 
VARSIG28	except 
METHODS	writedatabasestructuretooutputstream write databas structur output stream readschemafrominputstream read schema input stream readschemausingsaxfrominputstream read schema sax input stream readdatabasestructurefrominputstream read databas structur input stream addindic add indic getdocu document readdatabasestructureusingsaxfrominputstream read databas structur sax input stream 
VARSIG23	element tableel tabl element 
VARSIG22	tabl tabl 
VARSIG21	element sequenceel sequenc element 
VARSIG20	element referenceel refer element 
VARSIG27	inputstream input stream inputstream input stream 
VARSIG26	element indexcolumnel column element 
VARSIG25	element element 
VARSIG24	indextyp type indextyp type 
VARIABLES	databas outputstream output stream tabl column foreignkei foreign kei refer indexcolumn column exportedkei export kei refer sequenc inputstream input stream inputstream input stream inputstream input stream tableel tabl element columnel column element foreignkeyel foreign kei element referenceel refer element exportedkeyel export kei element referenceel refer element sequenceel sequenc element tabl tableel tabl element indextyp type element indexcolumnel column element inputstream input stream inputstream input stream local foreign foreign tabl descript refer sequenc number updat delet indextyp type document comment databaseel databas element tableel tabl element columnel column element foreignkeyel foreign kei element foreigntablenam foreign tabl referenceel refer element indexel element indexcolumnel column element exportedkeyel export kei element foreigntablenam foreign tabl referenceel refer element sequenc sequencesel sequenc element sequenceel sequenc element document databaseel databas element spf parser contenthandl content handler document databaseel databas element tabl tableel tabl element tabl columnel column element column size precisionscal precis scale foreignkeyel foreign kei element foreignkei foreign kei referenceel refer element refer exportedkeyel export kei element exportedkei export kei referenceel refer element refer sequenc sequenceel sequenc element sequenc schema databas element indexcolumnel column element indexcolumn column builder spf parser contenthandl content handler 
