MTHSIG26	encodefiletofil encod file file infil outfil 
MTHSIG27	decodefiletofil decod file file infil outfil 
MTHSIG24	decodefromfil decod file filenam 
MTHSIG25	encodefromfil encod file filenam 
MTHSIG22	encodetofil encod file datatoencod data encod filenam 
MTHSIG23	decodetofil decod file datatodecod data decod filenam 
MTHSIG4	encod encod sourc srcoffset src offset numsigbyt num sig byte destin destoffset dest offset option 
VARSIG78	ioexcept except 
MTHSIG5	encod nio bytebuff buffer raw nio bytebuff buffer encod 
VARSIG77	filenam 
MTHSIG6	encod nio bytebuff buffer raw nio charbuff buffer encod 
VARSIG76	datatodecod data decod 
MTHSIG7	encodeobject encod object serializ serializableobject serializ object 
VARSIG75	except 
MTHSIG0	getalphabet alphabet option 
MTHSIG1	getdecodabet decodabet option 
MTHSIG2	base base 
MTHSIG3	encod encod threebyt byte numsigbyt num sig byte option 
VARSIG79	except 
MTHSIG20	decodetoobject decod object encodedobject encod object 
VARSIG70	except 
MTHSIG21	decodetoobject decod object encodedobject encod object option classload loader loader 
MTHSIG8	encodeobject encod object serializ serializableobject serializ object option 
VARSIG74	ioexcept except 
MTHSIG9	encodebyt encod byte sourc 
VARSIG73	filenam 
VARSIG72	datatoencod data encod 
VARSIG71	except 
METHODS	getalphabet alphabet getdecodabet decodabet base base encod encod encod encod encod encod encodeobject encod object encodeobject encod object encodebyt encod byte encodebyt encod byte encodebyt encod byte encodebyt encod byte encodebytestobyt encod byte byte encodebytestobyt encod byte byte decod decod decod decod decod decod decodetoobject decod object decodetoobject decod object encodetofil encod file decodetofil decod file decodefromfil decod file encodefromfil encod file encodefiletofil encod file file decodefiletofil decod file file 
VARSIG67	objectstreamclass object stream streamclass stream 
VARSIG66	classload loader loader 
VARSIG65	option 
VARSIG64	encodedobject encod object 
VARSIG69	lang classnotfoundexcept except 
VARSIG68	ioexcept except 
VARSIG63	encodedobject encod object 
VARSIG62	except 
VARSIG61	except 
VARSIG60	except 
