MTHSIG22	getoutput output 
MTHSIG23	iscont content 
MTHSIG4	appendtypeannot append type annot 
MTHSIG5	appendfieldannot append field annot 
MTHSIG6	appendmethodannot append annot 
MTHSIG7	appendextendstyp append type 
MTHSIG0	itdsourcefilecompos sourc file compos itdtypedetail type detail itdtypedetail type detail 
MTHSIG1	prependcompilationunitdetail prepend compil unit detail 
PACKAGE	springframework roo classpath 
MTHSIG2	appendtypedeclar append type declar 
MTHSIG3	outputannot output annot annotationmetadata annot metadata annot 
MTHSIG20	appendind append indent 
MTHSIG21	appendtermin append termin 
MTHSIG8	appendimplementstyp append type 
MTHSIG9	appendconstructor append constructor 
CLASSES	itdsourcefilecompos sourc file compos 
METHODS	itdsourcefilecompos sourc file compos prependcompilationunitdetail prepend compil unit detail appendtypedeclar append type declar outputannot output annot appendtypeannot append type annot appendfieldannot append field annot appendmethodannot append annot appendextendstyp append type appendimplementstyp append type appendconstructor append constructor appendmethod append method appendfield append field appendinnertyp append type indent indentremov indent remov newlin newlin getnewlin append appendformallin append formal appendind append indent appendtermin append termin getoutput output iscont content 
VARSIG21	messag 
VARSIG20	messag 
VARSIG7	javatyp type extendstyp type 
VARSIG6	declaredmethodannotationdetail declar annot detail methoddetail detail 
VARSIG9	constructormetadata constructor metadata constructor 
VARSIG8	javatyp type extendstyp type 
VARSIG3	annotationmetadata annot metadata annot 
VARSIG2	javatyp type importtyp type 
VARSIG5	declaredfieldannotationdetail declar field annot detail fielddetail field detail 
VARSIG4	annotationmetadata annot metadata typeannot type annot 
COMMENTS	simpl produc inter type declar sourc file construct link itdsourcefilecompos sourc file compos member request pass object itdtypedetail type detail construct requir creat resolv add item process saniti check user misus prepend declar import ensur compil unit import correct thei built travers member note interact top file builder order ensur consist output append normal file bottom replac writer writer set set oper append annot append modifi targetofintroduct target introduct portion append paramet type name add bodi append annot append modifi returntyp methodnam portion type append paramet type name add except thrown add bodi append annot append modifi fieldtyp fieldnam field portion append initi complet field declar support type field definit point append initi complet field declar increas indent level decreas indent level print blank ensur indent includ print blank ensur indent includ consist javapars javapars dumpvisitor dump visitor append system getproperti properti separ consist javapars javapars dumpvisitor dump visitor print messag indent print messag ad indent return commonli print relev number indent ensur content flag set formal append content formal declar actual content 
VARSIG19	indent 
VARSIG1	javatyp type registeredimport regist 
VARSIG18	fieldmetadata field metadata field 
VARSIG0	itdtypedetail type detail itdtypedetail type detail 
VARSIG17	classorinterfacetypedetail type detail innertyp type 
VARSIG12	methodmetadata metadata 
VARSIG11	annotationmetadata annot metadata methodparameterannot paramet annot 
VARSIG10	annotationmetadata annot metadata annot 
VARSIG16	annotationmetadata annot metadata annot 
VARSIG15	fieldmetadata field metadata field 
VARSIG14	annotationmetadata annot metadata methodparameterannot paramet annot 
VARSIG13	annotationmetadata annot metadata annot 
MTHSIG17	getnewlin 
MTHSIG18	append messag 
MTHSIG15	newlin 
MTHSIG16	newlin indent 
MTHSIG13	indent 
MTHSIG14	indentremov indent remov 
MTHSIG11	appendfield append field 
MTHSIG12	appendinnertyp append type 
MTHSIG19	appendformallin append formal messag 
MTHSIG10	appendmethod append method 
VARIABLES	itdtypedetail type detail registeredimport regist importtyp type annot typeannot type annot fielddetail field detail methoddetail detail extendstyp type extendstyp type constructor annot methodparameterannot paramet annot annot methodparameterannot paramet annot field annot innertyp type field indent messag messag indentlevel indent level introductionto introduct content itdtypedetail type detail resolv aspect topoffil top file type typeannot type annot fieldannot field annot methodannot annot extendstyp type implementstyp type constructor paramtyp type paramnam name paramtyp type paramnam method staticmethod paramtyp type paramnam name paramtyp type paramnam throwstyp type field innertyp type contentbefor content 
