VARSIG7	javapackag toplevelpackag top level 
VARSIG6	projectnam project 
VARSIG9	projectnam project 
VARSIG8	descript 
VARSIG3	file messagebundl messag bundl 
VARSIG2	local local 
VARSIG5	descript 
VARSIG4	file flaggraph flag graphic 
COMMENTS	link creatoroperationsimpl creator oper impl 
CLASSES	creatoroper creator oper 
VARSIG1	languag 
VARSIG0	javapackag toplevelpackag top level 
METHODS	iscommandavail command createi naddon creat addon createsimpleaddon creat simpl addon createadvancedaddon creat advanc addon 
VARSIG12	projectnam project 
VARSIG11	descript 
VARSIG10	javapackag toplevelpackag top level 
MTHSIG0	iscommandavail command 
MTHSIG1	createi naddon creat addon javapackag toplevelpackag top level languag local local file messagebundl messag bundl file flaggraph flag graphic descript projectnam project 
PACKAGE	springframework roo addon creator 
MTHSIG2	createsimpleaddon creat simpl addon javapackag toplevelpackag top level descript projectnam project 
MTHSIG3	createadvancedaddon creat advanc addon javapackag toplevelpackag top level descript projectnam project 
VARIABLES	toplevelpackag top level languag local messagebundl messag bundl flaggraph flag graphic descript projectnam project toplevelpackag top level descript projectnam project toplevelpackag top level descript projectnam project 
