VARSIG3	categori 
VARSIG2	messag 
VARSIG5	 
VARSIG4	kei 
COMMENTS	oper offer git addon trigger commit git tree work git commmit messag messag commit messag contain git commit messag trigger git revert noofcommitstorevert commit revert number commit revert head messag commit messag contain git commit messag conveni access git config set config option categori git config categori kei config kei config initi setup git repositori target project check git command shell depend presenc git repositori avail check git setup command shell avail 
CLASSES	gitoper git oper 
VARSIG1	noofcommitstorevert commit revert 
VARSIG0	messag 
METHODS	commitallchang commit revertcommit revert commit setconfig set config setup isgitcommandavail git command issetupcommandavail setup command 
MTHSIG4	isgitcommandavail git command 
MTHSIG5	issetupcommandavail setup command 
MTHSIG0	commitallchang commit messag 
MTHSIG1	revertcommit revert commit noofcommitstorevert commit revert messag 
PACKAGE	springframework roo addon git 
MTHSIG2	setconfig set config categori kei 
MTHSIG3	setup 
VARIABLES	messag noofcommitstorevert commit revert messag categori kei 
