MTHSIG26	getpropertiesfromdatanucleusconfigur properti data nucleu configur 
MTHSIG24	createpropertyel creat properti element document doc 
MTHSIG25	createrefel creat element document doc 
MTHSIG22	getdbxpath path jdbcdatabas jdbc databas databas 
MTHSIG23	getproviderxpath provid path ormprovid orm provid provid 
MTHSIG4	getdatabasepropertiespath databas properti path 
VARSIG78	jdbcdatabas jdbc databas databas 
MTHSIG5	configurejpa configur jpa ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas jndi applicationid applic hostnam host databasenam databas usernam user password persistenceunit persist unit 
VARSIG77	ormprovid orm provid ormprovid orm provid 
MTHSIG6	updateapplicationcontext updat applic context ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas jndi persistenceunit persist unit 
VARSIG76	element configur 
MTHSIG7	updatepersistencexml updat persist xml ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas databasenam databas usernam user password persistenceunit persist unit 
VARSIG75	element resourceel resourc element 
MTHSIG0	isjpainstallationposs jpa instal 
MTHSIG1	isjpainstal jpa instal 
MTHSIG2	hasdatabaseproperti databas properti 
MTHSIG3	getdatabaseproperti databas properti 
VARSIG79	element pluginel plugin element 
MTHSIG20	updateeclipseplugin updat plugin addbuildcommand add build command 
VARSIG70	element filterel filter element 
MTHSIG21	cleanup element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas 
MTHSIG8	updategaexml updat gae xml ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas applicationid applic 
VARSIG74	element resourceel resourc element 
MTHSIG9	updatedatabaseproperti updat databas properti ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas hostnam host databasenam databas usernam user password 
VARSIG73	jdbcdatabas jdbc databas databas 
VARSIG72	ormprovid orm provid ormprovid orm provid 
VARSIG71	element configur 
METHODS	isjpainstallationposs jpa instal isjpainstal jpa instal hasdatabaseproperti databas properti getdatabaseproperti databas properti getdatabasepropertiespath databas properti path configurejpa configur jpa updateapplicationcontext updat applic context updatepersistencexml updat persist xml updategaexml updat gae xml updatedatabaseproperti updat databas properti updatevmforceconfigproperti updat mforc config properti updatelog updat log updatepomproperti updat pom properti updatedepend updat depend getprojectnam project updaterepositori updat repositori updatepluginrepositori updat plugin repositori updatefilt updat filter updateresourc updat resourc updatebuildplugin updat build plugin updateeclipseplugin updat plugin cleanup getdbxpath path getproviderxpath provid path createpropertyel creat properti element createrefel creat element getpropertiesfromdatanucleusconfigur properti data nucleu configur 
VARSIG67	ormprovid orm provid ormprovid orm provid 
VARSIG66	element configur 
VARSIG65	element pluginrepositoryel plugin repositori element 
VARSIG64	element pluginrepositoryel plugin repositori element 
VARSIG69	element filterel filter element 
VARSIG68	jdbcdatabas jdbc databas databas 
VARSIG63	jdbcdatabas jdbc databas databas 
VARSIG62	ormprovid orm provid ormprovid orm provid 
VARSIG61	element configur 
VARSIG60	element repositoryel repositori element 
COMMENTS	jpa configur oper pars configur xml file remov unnecessari artifact specif current databas jpa provid check exist configur abort set attribut datanuclueu data nuclueu gae specif requir add provid element add properti roo roo roo oracl connect url roo hard code jpa hibern valid list element pomproperti pom properti xmlutil xml util findel find element getproviderxpath provid path provid properti configur element propertyel properti element pomproperti pom properti projectoper project oper removeproperti remov properti properti propertyel properti element 
VARSIG19	persistenceunit persist unit 
VARSIG18	password 
VARSIG17	usernam user 
VARSIG12	persistenceunit persist unit 
VARSIG11	jndi 
VARSIG99	 
VARSIG10	jdbcdatabas jdbc databas databas 
VARSIG98	document doc 
VARSIG97	 
VARSIG16	databasenam databas 
VARSIG15	jdbcdatabas jdbc databas databas 
VARSIG14	ormprovid orm provid ormprovid orm provid 
VARSIG13	except 
VARSIG92	element filterel filter element 
VARSIG91	element dependencyel depend element 
VARSIG90	ormprovid orm provid provid 
VARSIG96	 
VARSIG95	ormprovid orm provid provid 
VARSIG94	jdbcdatabas jdbc databas databas 
VARSIG93	element pluginel plugin element 
MTHSIG17	updatefilt updat filter element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas 
MTHSIG18	updateresourc updat resourc element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas 
MTHSIG15	updaterepositori updat repositori element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas 
MTHSIG16	updatepluginrepositori updat plugin repositori element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas 
MTHSIG13	updatedepend updat depend element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas 
MTHSIG14	getprojectnam project 
MTHSIG11	updatelog updat log ormprovid orm provid ormprovid orm provid 
MTHSIG12	updatepomproperti updat pom properti element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas 
MTHSIG19	updatebuildplugin updat build plugin element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas 
VARSIG89	element pluginel plugin element 
VARSIG88	element filterel filter element 
VARSIG87	element dependencyel depend element 
VARSIG86	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG81	addbuildcommand add build command 
MTHSIG10	updatevmforceconfigproperti updat mforc config properti ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas databas usernam user password 
VARSIG80	element pluginel plugin element 
