MTHSIG0	getconnect connect properti prop 
MTHSIG1	getconnect connect map map 
VARSIG2	connect connect 
PACKAGE	springframework roo addon dbre jdbc 
MTHSIG2	closeconnect close connect connect connect 
COMMENTS	jdbc link connect return jdbc link connect configur connect properti properti user password requir driver connect properti suppli implement provid prop databas connect properti requir connect runtimeexcept runtim except problem acquir connect return jdbc link connect configur connect properti map properti user password requir driver connect map properti implement provid map databas connect properti contain map requir connect runtimeexcept runtim except problem acquir connect close link connect except thrown connect close connect connect close 
CLASSES	connectionprovid connect provid 
VARIABLES	prop map connect 
VARSIG1	map map 
VARSIG0	properti prop 
METHODS	getconnect connect getconnect connect closeconnect close connect 
