VARSIG7	sortbyaccessornam sort accessor 
VARSIG6	memberholdingtypedetail member hold type detail holder 
VARSIG9	methodmetadata metadata 
VARSIG8	memberholdingtypedetail member hold type detail holder 
VARSIG3	list memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	javasymbolnam symbol propertynam properti 
VARSIG4	methodmetadata metadata methodmetadata metadata 
COMMENTS	metadata link roobeaninfo roo bean info repres common bean accessor mutat creat represent desir output todo elimin desir notif optimis roo interim delet beaninfometadata bean info metadata roo requir add on memberdetailsscann member detail scanner point work obtain properti javabean bean accessor mutat determin discard letter depend set special search actual field methodmetadata metadata search requir set properti return attempt locat field repres present properti javabean bean getter setter back field ident case return propertynam properti properti requir field couldn find properti exact scan lowercas charact roo accessor method defin superclass sort alphabet empti sortbyaccessornam sort accessor sort return accessor getter accessor method defin superclass empti treemap tree map method output alphabet order kei base methodmetadata metadata paramet mutat method defin superclass sort alphabet empti treemap tree map method output alphabet order kei base methodmetadata metadata singl paramet set type metadata repres return 
VARSIG1	javatyp type aspectnam aspect 
VARSIG0	identifi 
MTHSIG4	getpublicaccessor accessor 
VARSIG12	javatyp type javatyp type 
MTHSIG5	getpublicaccessor accessor sortbyaccessornam sort accessor 
VARSIG11	methodmetadata metadata 
MTHSIG6	getpublicmut mutat 
VARSIG10	memberholdingtypedetail member hold type detail holder 
MTHSIG7	getjavabean bean 
MTHSIG0	beaninfometadata bean info metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata list memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG16	metadataidentificationstr metadata identif 
MTHSIG1	hashcod hash code 
VARSIG15	metadataidentificationstr metadata identif 
PACKAGE	springframework roo addon beaninfo 
MTHSIG2	getpropertynameforjavabeanmethod properti bean methodmetadata metadata methodmetadata metadata 
VARSIG14	metadataidentificationstr metadata identif 
MTHSIG3	getfieldforpropertynam field properti javasymbolnam symbol propertynam properti 
VARSIG13	path path 
MTHSIG8	tostr 
MTHSIG9	getmetadataidentifertyp metadata identif type 
MTHSIG13	isvalid valid metadataidentificationstr metadata identif 
MTHSIG11	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG12	getpath path metadataidentificationstr metadata identif 
CLASSES	beaninfometadata bean info metadata 
METHODS	beaninfometadata bean info metadata hashcod hash code getpropertynameforjavabeanmethod properti bean getfieldforpropertynam field properti getpublicaccessor accessor getpublicaccessor accessor getpublicmut mutat getjavabean bean tostr getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
MTHSIG10	createidentifi creat identifi javatyp type javatyp type path path 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata memberholdingtypedetail member hold type detail methodmetadata metadata propertynam properti holder sortbyaccessornam sort accessor holder holder javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type memberholdingtypedetail member hold type detail result map sortedbydetectionord sort detect order accessornam accessor map mutatornam mutat tsc 
