VARSIG7	methodmetadata metadata accessor 
VARSIG6	javatyp type javatyp type 
VARSIG9	fieldmetadata field metadata fieldmetadata field metadata 
VARSIG8	javatyp type generictyp type 
VARSIG3	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG2	javatyp type aspectnam aspect 
VARSIG5	javatyp type type 
VARSIG4	itdfilenam filenam 
COMMENTS	link webscaffoldmetadata web scaffold metadata governor type detail safe pars annot expect lookup form back object object metadata lookup metadata depend abort couldn find depend metadata inform depend metadata inform referenc type chang monitor parent type parent trickl govern type unabl metadata javatyp type project unabl entiti metadata entiti project interest identifi version field interest field expos mutat interest type applic 
VARSIG1	metadataidentificationstr metadata identif 
VARSIG0	componentcontext compon context context 
MTHSIG4	isspecialtyp special type javatyp type javatyp type 
VARSIG12	javatyp type javatyp type 
MTHSIG5	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG11	methodmetadata metadata mutat 
MTHSIG6	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARSIG10	beaninfometadata bean info metadata bim 
MTHSIG7	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG15	path path 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	getspecialdomaintyp special domain type javatyp type javatyp type 
VARSIG14	javatyp type javatyp type 
MTHSIG3	hasmut mutat fieldmetadata field metadata fieldmetadata field metadata beaninfometadata bean info metadata bim 
VARSIG13	metadataidentificationstr metadata identif 
MTHSIG8	getprovidestyp type 
CLASSES	webscaffoldmetadataproviderimpl web scaffold metadata provid impl 
METHODS	activ getmetadata metadata getspecialdomaintyp special domain type hasmut mutat isspecialtyp special type getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
VARIABLES	context metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam type javatyp type accessor generictyp type fieldmetadata field metadata bim mutat javatyp type metadataidentificationstr metadata identif javatyp type path controlleroper control oper annotationvalu annot valu javatyp type path beaninfometadatakei bean info metadata kei entitymetadatakei entiti metadata kei findermetdadatakei finder metdadata kei beaninfometadata bean info metadata entitymetadata entiti metadata findermetadata finder metadata specialtyp special type bim fieldmetadata field metadata type javatyp type path physicaltypeidentifi physic type identifi 
