VARSIG7	identifi 
VARSIG6	pathinform path 
VARSIG9	path path 
VARSIG8	identifi 
VARSIG3	requiresourc requir sourc 
VARSIG2	path path 
VARSIG5	identifi 
VARSIG4	pathinform path 
COMMENTS	link pathresolv path resolv implement subclass creat common build system structur path constructor cach map path call link init wish list path regist unmodifi list path requir call subclass readi complet initi link getpathinform path readi call obtain link path requiresourc requir sourc path sourc path sourc sourc list match path locat link pathinform path constru parent present identifi identifi locat parent requir match parent 
VARSIG1	identifi 
VARSIG0	pathinform path 
MTHSIG4	getpath path requiresourc requir sourc 
MTHSIG5	getpath path 
MTHSIG6	getnonsourcepath sourc path 
VARSIG10	relativepath rel path 
MTHSIG7	getsourcepath sourc path 
MTHSIG0	getpathinform path 
MTHSIG1	init 
PACKAGE	springframework roo project 
MTHSIG2	getfriendlynam friendli identifi 
MTHSIG3	getroot root path path 
MTHSIG8	getapplicablepathinform applic path identifi 
MTHSIG9	getpath path identifi 
MTHSIG11	getidentifi identifi path path relativepath rel path 
CLASSES	abstractpathresolv path resolv 
METHODS	getpathinform path init getfriendlynam friendli getroot root getpath path getpath path getnonsourcepath sourc path getsourcepath sourc path getapplicablepathinform applic path getpath path getrelativeseg rel segment getidentifi identifi 
MTHSIG10	getrelativeseg rel segment identifi 
VARIABLES	identifi path requiresourc requir sourc identifi identifi identifi path relativepath rel path pathord path order pathcach path cach pathinform path pathinfo path info root result possiblepar parent parent parent parentfi parent newpath path 
