VARSIG3	bundlesymbolicnam bundl symbol bsn 
VARSIG2	addonbundlesymbolicnam add bundl symbol bsn 
VARSIG4	refresh 
COMMENTS	oper offer addon displai link addonbundlesymbolicnam add bundl symbol pipe standard jdk link logger info bundl symbol requir list regist addon present roo shell pipe standard jdk link logger info refresh attempt fresh download roobot xml option retriev set addon bundl symbol name set addon bundl symbol name empti instal addon link addonbundlesymbolicnam add bundl symbol bsn bundl symbol requir remov addon link bundlesymbolicnam bundl symbol bsn bundl symbol requir list cach addon bundl refresh refresh attempt fresh download roobot xml option set addon bundl 
CLASSES	addonroobotoper add roo bot oper 
VARSIG1	refresh 
VARSIG0	addonbundlesymbolicnam add bundl symbol bsn 
METHODS	addoninfo add info listaddon list add on getaddonbsnset add bsn set installaddon instal add removeaddon remov add getaddoncach add cach 
MTHSIG4	removeaddon remov add bundlesymbolicnam bundl symbol bsn 
MTHSIG5	getaddoncach add cach refresh 
MTHSIG0	addoninfo add info addonbundlesymbolicnam add bundl symbol bsn 
MTHSIG1	listaddon list add on refresh 
PACKAGE	springframework roo addon roobot client 
MTHSIG2	getaddonbsnset add bsn set 
MTHSIG3	installaddon instal add addonbundlesymbolicnam add bundl symbol bsn 
VARIABLES	bsn refresh bsn bsn refresh 
